cell,area,time,int
1,1,1,145.816
1,1,2,147.348
1,1,3,146.285
1,1,4,144.878
1,1,5,145.532
1,1,6,1417.783
1,1,7,1365.221
1,1,8,1346.225
1,1,9,1338.681
1,1,10,1311.294
1,1,11,1288.861
1,1,12,1278.877
1,1,13,1269.537
1,1,14,1252.352
1,1,15,1234.848
1,1,16,1204.763
1,1,17,1179.938
1,1,18,1169.429
1,1,19,1143.26
1,1,20,1114.432
1,1,21,1102.725
1,1,22,1075.262
1,1,23,1047.119
1,1,24,1034.293
1,1,25,1013.512
1,1,26,990.855
1,1,27,964.267
1,1,28,930.847
1,1,29,910.396
1,1,30,897.645
1,1,31,880.363
1,1,32,849.829
1,1,33,837.108
1,1,34,805.949
1,1,35,794.097
1,1,36,764.878
1,1,37,742.299
1,1,38,720.678
1,1,39,692.859
1,1,40,683.844
1,1,41,653.217
1,1,42,631.019
1,1,43,609.046
1,1,44,589.575
1,1,45,569.498
1,1,46,556.854
1,1,47,536.82
1,1,48,517.988
1,1,49,503.044
1,1,50,501.464
1,1,51,485.716
1,1,52,472.795
1,1,53,465.631
1,1,54,442.998
1,1,55,434.947
1,1,56,427.595
1,1,57,416.689
1,1,58,413.377
1,1,59,405.751
1,1,60,391.832
1,1,61,381.676
1,1,62,378.884
1,1,63,379.081
1,1,64,360.556
1,1,65,362.665
1,1,66,356.093
1,1,67,346.82
1,1,68,340.306
1,1,69,338.91
1,1,70,335.073
1,1,71,330.752
1,1,72,320.636
1,1,73,314.484
1,1,74,318.383
1,1,75,312.482
1,1,76,307.057
1,1,77,299.057
1,1,78,298.697
1,1,79,294.614
1,1,80,293.477
1,1,81,294.444
1,1,82,291.591
1,1,83,280.941
1,1,84,284.197
1,1,85,279.887
1,1,86,278.357
1,1,87,270.082
1,1,88,276.522
1,1,89,266.198
1,1,90,262.517
1,1,91,267.101
1,1,92,265.533
1,1,93,264.997
1,1,94,257.978
1,1,95,261.986
1,1,96,255.064
1,1,97,257.553
1,1,98,257.905
1,1,99,246.192
1,1,100,249.051
1,1,101,241.254
1,1,102,242.459
1,1,103,243.38
1,1,104,236.479
1,1,105,237.708
1,1,106,238.217
1,1,107,234.222
1,1,108,235.08
1,1,109,233.666
1,1,110,230.121
1,1,111,236.818
1,1,112,229.863
1,1,113,227.942
1,1,114,219.625
1,1,115,222.548
1,1,116,219.732
1,1,117,222.406
1,1,118,212.781
1,1,119,218.491
1,1,120,215.062
2,1/5,1,212.514
2,1/5,2,208.69
2,1/5,3,209.349
2,1/5,4,211.978
2,1/5,5,215.189
2,1/5,6,657.695
2,1/5,7,640.231
2,1/5,8,608.829
2,1/5,9,593.272
2,1/5,10,576.298
2,1/5,11,557.581
2,1/5,12,558.812
2,1/5,13,539.79
2,1/5,14,533.237
2,1/5,15,507.934
2,1/5,16,503.8
2,1/5,17,498.531
2,1/5,18,485.633
2,1/5,19,476.757
2,1/5,20,467.752
2,1/5,21,457.271
2,1/5,22,445.33
2,1/5,23,444.516
2,1/5,24,433.08
2,1/5,25,432.094
2,1/5,26,420.281
2,1/5,27,412.966
2,1/5,28,411.451
2,1/5,29,402.188
2,1/5,30,391.853
2,1/5,31,391.004
2,1/5,32,386.251
2,1/5,33,381.792
2,1/5,34,371.166
2,1/5,35,370.162
2,1/5,36,368.367
2,1/5,37,359.169
2,1/5,38,365.243
2,1/5,39,353.575
2,1/5,40,350.561
2,1/5,41,342.486
2,1/5,42,348.109
2,1/5,43,344.16
2,1/5,44,343.058
2,1/5,45,333.812
2,1/5,46,333.93
2,1/5,47,317.587
2,1/5,48,326.634
2,1/5,49,319.593
2,1/5,50,322.298
2,1/5,51,320.326
2,1/5,52,317.42
2,1/5,53,313.341
2,1/5,54,308.563
2,1/5,55,309.938
2,1/5,56,310.949
2,1/5,57,301.361
2,1/5,58,303.579
2,1/5,59,300.244
2,1/5,60,294.919
2,1/5,61,293.904
2,1/5,62,294.348
2,1/5,63,296.311
2,1/5,64,291.679
2,1/5,65,292.381
2,1/5,66,293.892
2,1/5,67,290.335
2,1/5,68,290.66
2,1/5,69,285.796
2,1/5,70,284.189
2,1/5,71,286.006
2,1/5,72,280.467
2,1/5,73,280.699
2,1/5,74,283.408
2,1/5,75,275.731
2,1/5,76,278.801
2,1/5,77,275.518
2,1/5,78,275.855
2,1/5,79,271.163
2,1/5,80,271.058
2,1/5,81,268.677
2,1/5,82,270.808
2,1/5,83,267.673
2,1/5,84,267.074
2,1/5,85,266.884
2,1/5,86,266.888
2,1/5,87,264.876
2,1/5,88,268.248
2,1/5,89,261.567
2,1/5,90,260.718
2,1/5,91,256.632
2,1/5,92,264.699
2,1/5,93,264.335
2,1/5,94,262.852
2,1/5,95,262.798
2,1/5,96,261.762
2,1/5,97,263.082
2,1/5,98,262.487
2,1/5,99,260.981
2,1/5,100,260.612
2,1/5,101,262.671
2,1/5,102,261.575
2,1/5,103,263.095
2,1/5,104,259.946
2,1/5,105,257.916
2,1/5,106,262.443
2,1/5,107,258.999
2,1/5,108,258.179
2,1/5,109,261.634
2,1/5,110,256.706
2,1/5,111,260.011
2,1/5,112,252.47
2,1/5,113,256.588
2,1/5,114,248.973
2,1/5,115,247.26
2,1/5,116,251.472
2,1/5,117,250.234
2,1/5,118,247.225
2,1/5,119,251.695
2,1/5,120,249.148
3,1,1,254.934
3,1,2,254.737
3,1,3,252.975
3,1,4,248.299
3,1,5,248.073
3,1,6,2250.147
3,1,7,2180.215
3,1,8,2098.915
3,1,9,2030.945
3,1,10,1981.963
3,1,11,1934.0
3,1,12,1867.644
3,1,13,1798.697
3,1,14,1730.948
3,1,15,1691.886
3,1,16,1640.805
3,1,17,1582.998
3,1,18,1542.663
3,1,19,1484.875
3,1,20,1443.475
3,1,21,1384.887
3,1,22,1358.514
3,1,23,1315.699
3,1,24,1267.959
3,1,25,1225.912
3,1,26,1202.284
3,1,27,1181.57
3,1,28,1133.736
3,1,29,1106.983
3,1,30,1077.044
3,1,31,1047.7
3,1,32,1015.858
3,1,33,991.741
3,1,34,970.35
3,1,35,948.487
3,1,36,929.322
3,1,37,903.917
3,1,38,891.632
3,1,39,868.112
3,1,40,861.684
3,1,41,838.526
3,1,42,830.772
3,1,43,819.067
3,1,44,799.153
3,1,45,790.7
3,1,46,775.0
3,1,47,762.935
3,1,48,744.124
3,1,49,747.04
3,1,50,729.224
3,1,51,721.688
3,1,52,707.766
3,1,53,705.184
3,1,54,702.142
3,1,55,688.64
3,1,56,683.174
3,1,57,673.44
3,1,58,676.79
3,1,59,664.066
3,1,60,653.076
3,1,61,649.55
3,1,62,634.833
3,1,63,635.566
3,1,64,621.746
3,1,65,620.393
3,1,66,606.868
3,1,67,610.283
3,1,68,609.887
3,1,69,598.107
3,1,70,592.106
3,1,71,588.332
3,1,72,584.309
3,1,73,577.858
3,1,74,577.205
3,1,75,577.777
3,1,76,572.864
3,1,77,571.542
3,1,78,571.504
3,1,79,570.503
3,1,80,559.543
3,1,81,559.329
3,1,82,555.285
3,1,83,554.595
3,1,84,543.815
3,1,85,541.971
3,1,86,534.271
3,1,87,542.081
3,1,88,531.031
3,1,89,533.0
3,1,90,525.758
3,1,91,525.526
3,1,92,521.122
3,1,93,519.777
3,1,94,516.075
3,1,95,524.163
3,1,96,517.632
3,1,97,515.985
3,1,98,509.741
3,1,99,513.94
3,1,100,513.099
3,1,101,505.21
3,1,102,508.07
3,1,103,506.631
3,1,104,503.926
3,1,105,501.03
3,1,106,500.748
3,1,107,507.226
3,1,108,510.273
3,1,109,504.632
3,1,110,498.756
3,1,111,492.076
3,1,112,492.741
3,1,113,491.164
3,1,114,494.255
3,1,115,499.297
3,1,116,484.707
3,1,117,489.754
3,1,118,484.279
3,1,119,480.203
3,1,120,480.037
4,1,1,0.0
4,1,2,0.0
4,1,3,0.0
4,1,4,296.501
4,1,5,300.151
4,1,6,641.232
4,1,7,636.471
4,1,8,0.0
4,1,9,0.0
4,1,10,0.0
4,1,11,594.069
4,1,12,586.083
4,1,13,572.521
4,1,14,571.304
4,1,15,569.851
4,1,16,554.688
4,1,17,549.985
4,1,18,552.265
4,1,19,547.935
4,1,20,0.0
4,1,21,530.557
4,1,22,521.481
4,1,23,519.491
4,1,24,515.588
4,1,25,506.594
4,1,26,0.0
4,1,27,501.095
4,1,28,0.0
4,1,29,0.0
4,1,30,489.894
4,1,31,480.938
4,1,32,0.0
4,1,33,484.32
4,1,34,474.567
4,1,35,0.0
4,1,36,460.718
4,1,37,474.254
4,1,38,459.738
4,1,39,0.0
4,1,40,459.524
4,1,41,0.0
4,1,42,0.0
4,1,43,450.632
4,1,44,455.289
4,1,45,0.0
4,1,46,456.675
4,1,47,0.0
4,1,48,441.819
4,1,49,0.0
4,1,50,0.0
4,1,51,0.0
4,1,52,440.812
4,1,53,443.611
4,1,54,442.269
4,1,55,433.947
4,1,56,0.0
4,1,57,429.987
4,1,58,423.774
4,1,59,0.0
4,1,60,420.077
4,1,61,0.0
4,1,62,0.0
4,1,63,0.0
4,1,64,411.55
4,1,65,421.451
4,1,66,0.0
4,1,67,417.447
4,1,68,420.758
4,1,69,412.838
4,1,70,417.767
4,1,71,413.424
4,1,72,0.0
4,1,73,411.834
4,1,74,0.0
4,1,75,0.0
4,1,76,413.254
4,1,77,407.03
4,1,78,405.966
4,1,79,413.471
4,1,80,412.671
4,1,81,0.0
4,1,82,0.0
4,1,83,416.545
4,1,84,405.031
4,1,85,0.0
4,1,86,406.856
4,1,87,402.492
4,1,88,413.6
4,1,89,0.0
4,1,90,414.75
4,1,91,407.716
4,1,92,405.211
4,1,93,415.738
4,1,94,405.6
4,1,95,406.708
4,1,96,0.0
4,1,97,404.895
4,1,98,0.0
4,1,99,405.188
4,1,100,408.372
4,1,101,404.36
4,1,102,403.789
4,1,103,400.774
4,1,104,0.0
4,1,105,404.633
4,1,106,398.127
4,1,107,0.0
4,1,108,395.733
4,1,109,392.77
4,1,110,388.666
4,1,111,384.434
4,1,112,0.0
4,1,113,391.738
4,1,114,390.491
4,1,115,0.0
4,1,116,384.025
4,1,117,385.592
4,1,118,382.567
4,1,119,378.547
4,1,120,378.14
